.------------------------------------------------------------------------------.
| ------------   USER DEFINITIONS FOR TABLE-A TABLE-B TABLE D   -------------- |
|------------------------------------------------------------------------------|
| MNEMONIC | NUMBER | DESCRIPTION                                              |
| NC005045 | PRLC  "QCPRMS"3  WDIR  "QCPRMS"3  WSPD  "QCPRMS"3  CCST           |
| NC005045 | "QCPRMS"3  "RPSEQ1"4  "MDPT"10                                    |
|          |                                                                   |
| NC005046 | BID  RCPTIM  RPID  CORN  SAID  OGCE  SCLF  SAZA  SSNX  SSNY  YEAR |
| NC005046 | MNTH  DAYS  HOUR  MINU  SECO  CLAT  CLON  SIDP  SWCM  SCCF  SCBW  |
| NC005046 | PRLC  "QCPRMS"3  WDIR  "QCPRMS"3  WSPD  "QCPRMS"3  CCST           |
| NC005046 | "QCPRMS"3  "RPSEQ1"4  "MDPT"10                                    |
|          |                                                                   |
| NC005061 | BID  RCPTIM  RPID  OGCE  SAID  SACO  SANA  YYMMDD  HHMM  TIWM     |
| NC005061 | SWCM  SATOBW2                                                     |
|          |                                                                   |
| NC005062 | BID  RCPTIM  RPID  OGCE  SAID  SACO  SANA  YYMMDD  HHMM  TIWM     |
| NC005062 | SWCM  SATOBW2                                                     |
|          |                                                                   |
| NC005063 | BID  RCPTIM  RPID  OGCE  SAID  SACO  SANA  YYMMDD  HHMM  TIWM     |
| NC005063 | SWCM  SATOBW2                                                     |
|          |                                                                   |
| NC005064 | BID  RCPTIM  RPID  CORN  SAID  OGCE  SCLF  SAZA  SSNX  SSNY  YEAR |
| NC005064 | MNTH  DAYS  HOUR  MINU  SECO  CLAT  CLON  SIDP  SWCM  SCCF  SCBW  |
| NC005064 | PRLC  "QCPRMS"3  WDIR  "QCPRMS"3  WSPD  "QCPRMS"3  CCST           |
| NC005064 | "QCPRMS"3  "RPSEQ1"4  "MDPT"10                                    |
|          |                                                                   |
| NC005065 | BID  RCPTIM  RPID  CORN  SAID  OGCE  SCLF  SAZA  SSNX  SSNY  YEAR |
| NC005065 | MNTH  DAYS  HOUR  MINU  SECO  CLAT  CLON  SIDP  SWCM  SCCF  SCBW  |
| NC005065 | PRLC  "QCPRMS"3  WDIR  "QCPRMS"3  WSPD  "QCPRMS"3  CCST           |
| NC005065 | "QCPRMS"3  "RPSEQ1"4  "MDPT"10                                    |
|          |                                                                   |
| NC005066 | BID  RCPTIM  RPID  CORN  SAID  OGCE  SCLF  SAZA  SSNX  SSNY  YEAR |
| NC005066 | MNTH  DAYS  HOUR  MINU  SECO  CLAT  CLON  SIDP  SWCM  SCCF  SCBW  |
| NC005066 | PRLC  "QCPRMS"3  WDIR  "QCPRMS"3  WSPD  "QCPRMS"3  CCST           |
| NC005066 | "QCPRMS"3  "RPSEQ1"4  "MDPT"10                                    |
|          |                                                                   |
| NC005067 | SATDRWN2  BID  RCPTIM  RPID  CORN                                 |
|          |                                                                   |
| NC005068 | SATDRWN2  BID  RCPTIM  RPID  CORN                                 |
|          |                                                                   |
| NC005069 | SATDRWN2  BID  RCPTIM  RPID  CORN                                 |
|          |                                                                   |
| YYMMDD   | YEAR  MNTH  DAYS                                                  |
|          |                                                                   |
| HHMM     | HOUR  MINU                                                        |
|          |                                                                   |
| LTLONH   | CLATH  CLONH                                                      |
|          |                                                                   |
| SATDRWN2 | OGCE  GSES  SOFTV  DBID  SAID  SCCF  DOMO  201138  CTRE  ATRE     |
| SATDRWN2 | 201000  SSNX  SSNY  WDPF  TCMD  SWCM  LSQL  DNQL  GPTI  CLATH     |
| SATDRWN2 | CLONH  YEAR  MNTH  DAYS  HOUR  MINU  SECO  LTDS  EHAM  PRLC  WDIR |
| SATDRWN2 | WSPD  UWND  VWND  TMDBST  HOCT  SAZA  OSQN  {AMVAHA}  {AMVIII}    |
| SATDRWN2 | {AMVIVR}  OGCE  TSIG  PRLC  UMWV  VWMV  TSIG  PRLC  UMWV  VWMV    |
| SATDRWN2 | TSIG  VSNWP  PRLC  UMWV  VWMV  VSNWP  "AMVQIC"4  MUNCEX  PRLC     |
| SATDRWN2 | UWND  VWND  MUNCEX  AMVQ  CLDMNT  CLTP  CLDP  {AMVCLD}  FOST      |
|          |                                                                   |
| BID      | SEQNUM  BUHD  BORG  BULTIM  BBB                                   |
|          |                                                                   |
| RAWRPT   | RRSTG                                                             |
|          |                                                                   |
| RCPTIM   | RCTS  RCYR  RCMO  RCDY  RCHR  RCMI                                |
|          |                                                                   |
| SATOBW2  | CLAT  CLON  PRLC  TMDB  WDIR  WSPD                                |
|          |                                                                   |
| TWIND    | TSIG  HOUR  MINU  SECO  WDIR  WSPD                                |
|          |                                                                   |
| MDPT     | HAMD  PRLC  TMDBST                                                |
|          |                                                                   |
| GQCPRMS  | OGCE  GNAP  PCCF                                                  |
|          |                                                                   |
| QCPRMS   | OGCE  GNAP  PCCF  MAQC  NCTH                                      |
|          |                                                                   |
| RPSEQ1   | TSIG  HOUR  MINU  SECO  TSIG  HOUR  MINU  SECO  WDIR  WSPD        |
|          |                                                                   |
| AMVAHA   | EHAM  PRLC  TMDBST  HOCT                                          |
|          |                                                                   |
| AMVIII   | LTDS  SCLF  SAID  SIID  CHNM  SCCF  ORBN  SAZA  BEARAZ  EHAM      |
| AMVIII   | PRLC  TMDBST  HOCT                                                |
|          |                                                                   |
| AMVIVR   | LTDS  LTDS  CLATH  CLONH  UWND  VWND  TCOV  CVWD  {AMVIVS}  FOST  |
| AMVIVR   | {AMVIVE}                                                          |
|          |                                                                   |
| AMVIVS   | FOST  UWND  VWND                                                  |
|          |                                                                   |
| AMVIVE   | XEEM  YEEM  AXEE                                                  |
|          |                                                                   |
| AMVCLD   | FOST  CDTP  MUNCEX  VSAT  TMDBST  VSAT  CDTP  MUNCEX  OECS  CDTP  |
| AMVCLD   | HOCT  COPT  ILWP  COTH  METFET  EMMI  METFET                      |
|          |                                                                   |
| AMVQIC   | GNAPS  PCCF                                                       |
|          |                                                                   |
|------------------------------------------------------------------------------|
| MNEMONIC | SCAL | REFERENCE   | BIT | UNITS                    |-------------|
|----------|------|-------------|-----|--------------------------|-------------|
|          |      |             |     |                          |-------------|
| SAID     |    0 |           0 |  10 | CODE TABLE               |-------------|
| DOMO     |    0 |           0 |   9 | DEGREE TRUE              |-------------|
| OSQN     |    0 |           0 |   9 | NUMERIC                  |-------------|
| GCLONG   |    0 |           0 |  16 | CODE TABLE               |-------------|
| GNAP     |    0 |           0 |   8 | CODE TABLE               |-------------|
| OGCE     |    0 |           0 |   8 | CODE TABLE               |-------------|
| GSES     |    0 |           0 |   8 | CODE TABLE               |-------------|
| GNAPS    |    0 |           0 |   8 | CODE TABLE               |-------------|
| ICLX     |    0 |           0 |  32 | CCITT IA5                |-------------|
| GPTI     |    0 |           0 |  24 | NUMERIC                  |-------------|
| SACO     |    0 |           0 |   8 | CODE TABLE               |-------------|
| SANA     |    0 |           0 |  16 | CCITT IA5                |-------------|
| RPID     |    0 |           0 |  64 | CCITT IA5                |-------------|
| TIWM     |    0 |           0 |   4 | FLAG TABLE               |-------------|
| SIID     |    0 |           0 |  11 | CODE TABLE               |-------------|
| SCLF     |    0 |           0 |   9 | CODE TABLE               |-------------|
| SWCM     |    0 |           0 |   4 | CODE TABLE               |-------------|
| CTRE     |    2 |           0 |  12 | M                        |-------------|
| ATRE     |    2 |           0 |  12 | M                        |-------------|
